,PETR4.SA,VALE3.SA,ITUB4.SA,ABEV3.SA
2021-01-01,30.541585291267715,46.495001821890455,37.15254206657211,46.518302531112035
2021-01-02,31.446361159894572,47.80144477472432,37.77253598003865,46.48136686397185
2021-01-03,31.432382559329238,46.4309173267327,38.024504949370304,46.83344194359073
2021-01-04,31.900406884311604,46.94175517640728,37.78080103472018,45.618391626519724
2021-01-05,30.916777994339178,45.54953376469992,38.2433142746725,45.88990363498444
2021-01-06,30.962431076855786,46.951830807400206,38.49079104255862,46.655076264376106
2021-01-07,30.94435924992797,46.3956341905164,39.111451967416336,45.7946022709774
2021-01-08,30.734647074570695,47.502604817509415,38.37695500001323,44.950380591744434
2021-01-09,29.689707422078822,47.70632480622952,37.89058140913953,45.013748074941496
2021-01-10,31.928138961089328,49.02685603138292,39.10973417817325,45.65228927987039
2021-01-11,31.85515743755123,47.17303121620812,37.72107329321951,44.2812474003214
2021-01-12,30.402207509998597,46.952759978249894,37.1105667960564,45.33706096153822
2021-01-13,31.098136247653912,46.84628974848343,39.29548387861065,46.47690651107345
2021-01-14,30.912020735436446,46.35242930880908,39.25943303399254,43.51006384250152
2021-01-15,30.946906968911044,47.011764536568506,37.79205437013794,46.90490406191654
2021-01-16,30.05867017873669,46.43726490929788,38.105719290138374,46.546283754687494
2021-01-17,31.013830549030825,46.88447773425324,37.72196339817549,45.12587626432258
2021-01-18,31.792039149276928,47.969677262354615,38.68651612218967,46.051040303994206
2021-01-19,33.030053427705916,45.82092630117427,39.7751022126386,45.57561093736924
2021-01-20,31.68508080080737,47.83467696431584,38.999552985301506,46.7037846795475
2021-01-21,31.524869096645045,48.01477783318232,39.26678032847645,46.493970102601786
2021-01-22,31.135627314915677,46.69296447714444,39.113598072318226,44.345442201861786
2021-01-23,31.092340089569035,44.84109117040153,38.49773802040008,46.16385749810812
2021-01-24,32.071157277793816,46.265853056309304,39.339637605932346,45.458126920034736
2021-01-25,31.669804861988098,48.05482671603193,39.092335684746054,45.73403391297281
2021-01-26,31.099047192322992,46.83932285306019,39.63611500725832,45.01135519794936
2021-01-27,30.86666610837988,45.9434358828825,38.19261528208976,47.27404348219233
2021-01-28,31.41449637078188,46.41807064860007,37.22414775437499,46.64453108727052
2021-01-29,31.190692846013725,47.68567166869701,39.36848329239938,45.04110633549085
2021-01-30,31.530610075526614,47.425290008661854,38.84656698633286,44.513762565703345
2021-01-31,31.399236446160142,46.70620839671567,38.36246072715124,45.388809102233076
2021-02-01,31.795804257356195,46.600047917167096,38.41606053032828,46.14683109004957
2021-02-02,30.767605109223307,46.58966403670487,40.56952723325724,45.9828683060145
2021-02-03,32.253461331051376,46.10747875782437,38.12878113870048,46.91588682846495
2021-02-04,33.31898647462513,48.48663966875804,37.977101221485604,46.50712079635039
2021-02-05,32.33395637312778,46.691761471075004,38.70697814801453,46.682459410950834
2021-02-06,31.730827881740304,48.13979700271183,39.55694911136004,46.109965874718654
2021-02-07,32.154588247159964,48.43547594119982,40.40897689611257,44.56112272122704
2021-02-08,30.97668807464503,47.95925401017499,39.175046182069266,45.657669564109646
